BEGIN_DATE_GMT,Actual_Load,Predicted_Load,Predicted_Load_lower,Predicted_Load_upper,Temperature_Norm_Load,Temperature_Norm_lower,Temperature_Norm_upper
2020-11-22 12:00:00,9543.0,9318.644802061277,7804.27937382941,11098.977234221737,9318.644802061277,7477.505410065908,10619.29100963655
2020-11-22 13:00:00,9702.0,9575.833443948148,8116.161893412275,11253.871197381246,9575.833443948148,7803.902743076876,10834.523217492895
2020-11-22 14:00:00,9915.0,9847.585007668422,8282.971092801212,11701.983564439663,9847.585007668422,7997.204479371309,11178.995755571628
2020-11-22 15:00:00,10083.0,10070.205186216777,8558.30411301559,11792.241876841905,10070.205186216777,8303.469367586356,11476.739342487546
2020-11-22 16:00:00,10249.0,10162.012156669396,8533.98728671532,11965.229124448982,10162.012156669396,8422.904849341032,11580.952653069442
2020-11-22 17:00:00,10386.0,10194.075070684692,8641.88474671922,11947.160427812487,10194.075070684692,8461.024627683668,11571.809183508798
2020-11-22 18:00:00,10431.0,10192.351725911316,8649.796968758475,11971.603451743385,10192.351725911316,8394.88908458954,11582.77220472041
2020-11-22 19:00:00,10479.0,10195.634482250576,8637.734615140907,12108.597932517827,10195.634482250576,8426.106618727265,11499.254391421142
2020-11-22 20:00:00,10455.0,10216.44762480813,8702.306417730288,12007.757817852758,10216.44762480813,8404.469226302243,11537.499199745
2020-11-22 21:00:00,10397.0,10234.88837646488,8744.546569681232,11885.789197410699,10234.88837646488,8510.39662372548,11599.481182313844
2020-11-22 22:00:00,10399.0,10259.814399551926,8723.132136785793,12004.603235314727,10259.814399551926,8504.040451145598,11651.280935197994
2020-11-22 23:00:00,10685.0,10278.400221054271,8757.067467295044,12146.53715175016,10278.400221054271,8652.17050802604,11653.5266150016
2020-11-23 00:00:00,10960.0,10564.993845441324,9076.846769846967,12297.806965558157,10564.993845441324,8823.574443341324,11960.441680890262
2020-11-23 01:00:00,10815.0,10595.765991564585,9131.385501853218,12329.656158786807,10595.765991564585,8913.246224149398,11954.456803594509
2020-11-23 02:00:00,10656.0,10553.598372052007,9035.290038536648,12291.943495650079,10553.598372052007,8923.582920258872,11979.446560643224
2020-11-23 03:00:00,10486.0,10409.999628561209,8895.344274601195,12100.108735639275,10409.999628561209,8695.041598460513,11776.616227046487
2020-11-23 04:00:00,10239.0,10169.70648711151,8643.07376581385,11861.856423147337,10169.70648711151,8448.124396238405,11680.741664762078
2020-11-23 05:00:00,9952.0,9875.54981996265,8225.271747931329,11630.79691845013,9875.54981996265,8175.8688587287315,11353.103605436625
2020-11-23 06:00:00,9662.0,9609.051860046171,8091.762082827376,11423.157256445045,9609.051860046171,7806.457969998069,11051.80093190549
2020-11-23 07:00:00,9431.0,9415.067583679598,7895.14846254462,11195.60958990788,9415.067583679598,7680.056408794422,10843.493589344831
2020-11-23 08:00:00,9372.0,9294.044074830012,7710.604504860523,11070.115911956718,9294.044074830012,7527.162916981239,10792.870486396481
2020-11-23 09:00:00,9344.0,9243.258700992716,7735.088307321646,10917.046567061529,9243.258700992716,7648.4131028483935,10717.05599667843
2020-11-23 10:00:00,9362.0,9268.901818270584,7711.799947060339,11043.706962549633,9268.901818270584,7627.608224888744,10673.141097590711
2020-11-23 11:00:00,9453.0,9392.275200183953,7766.270055074218,11272.879712648657,9392.275200183953,7752.771864469412,10862.543209588312
2020-11-23 12:00:00,9658.0,9618.142306061343,8125.465130359938,11432.366640642917,9618.142306061343,7874.946274022509,11055.774946517537
2020-11-23 13:00:00,10042.0,9916.347857568962,8341.293607656453,11629.840369020692,9916.347857568962,8237.2823935198,11367.818332163095
2020-11-23 14:00:00,10498.0,10214.503176116172,8719.962036816867,11947.630531580933,10214.503176116172,8561.396499774499,11703.474842160625
2020-11-23 15:00:00,10709.0,10440.407118053805,8942.445967455611,12184.233713205314,10440.407118053805,8757.004915895184,11935.409409743586
2020-11-23 16:00:00,10711.0,10589.947903610804,8996.758129175447,12330.542288156515,10589.947903610804,8982.237811158102,12044.293484363434
2020-11-23 17:00:00,10685.0,10640.606030101459,9090.637742053188,12516.350160564669,10640.606030101459,8932.768849901518,12087.423545690805
2020-11-23 18:00:00,10663.0,10632.362023015132,9047.802371300373,12451.878665182247,10632.362023015132,8961.607468399017,12057.410104487242
2020-11-23 19:00:00,10682.0,10629.979722284192,9057.785092850592,12424.63858812688,10629.979722284192,9046.178442206266,12090.768662951936
2020-11-23 20:00:00,10729.0,10664.481332508107,9148.67400302064,12482.090110157744,10664.481332508107,8973.000749349249,12186.573887877517
2020-11-23 21:00:00,10682.0,10686.505681871997,9111.21531413588,12410.084393338202,10686.505681871997,9067.263072806703,12195.172424845672
2020-11-23 22:00:00,10683.0,10697.247466899627,9175.193140309013,12532.445160101921,10697.247466899627,9025.71322349601,12104.005177516801
2020-11-23 23:00:00,10874.0,10705.27338312647,9146.602145385634,12403.06896053657,10705.27338312647,9071.16316926783,12349.498610186896
2020-11-24 00:00:00,11033.0,10737.897981434047,9200.207149540094,12602.346516901795,10737.897981434047,9074.078825256602,12309.906960105947
2020-11-24 01:00:00,10887.0,10758.270214130549,9248.128264347246,12641.379329051482,10758.270214130549,9095.264748533795,12241.349153779685
2020-11-24 02:00:00,10789.0,10726.552662479124,9240.953213171817,12585.386775638095,10726.552662479124,9165.024512164893,12209.99278504522
2020-11-24 03:00:00,10643.0,10584.056244773976,8992.816548621027,12320.879304485614,10584.056244773976,9005.962671784358,12061.512722421894
2020-11-24 04:00:00,10443.0,10328.006046016835,8812.4679336274,11971.71858087773,10328.006046016835,8668.575564538009,11978.983415185327
2020-11-24 05:00:00,10148.0,10027.126380690073,8420.775448162532,11749.459354067603,10027.126380690073,8401.24041842053,11647.519760922305
2020-11-24 06:00:00,9869.0,9751.52863751061,8187.377514553646,11635.903301742033,9751.52863751061,8221.484821503502,11373.712448191161
2020-11-24 07:00:00,9681.0,9544.43351639684,7981.506967647382,11341.952752024175,9544.43351639684,7818.380084284307,11131.740205495582
2020-11-24 08:00:00,9631.0,9417.02079253594,7883.79416081656,11261.596519842036,9417.02079253594,7781.811600410083,11013.109061775234
2020-11-24 09:00:00,9593.0,9358.245284598843,7823.178022378697,11128.088884835428,9358.245284598843,7769.794849659446,10886.761934660204
2020-11-24 10:00:00,9582.0,9376.785764301141,7856.527984080742,11289.899322945163,9376.785764301141,7692.169306496481,10985.325361804467
2020-11-24 11:00:00,9632.0,9484.41020933513,7915.324210098513,11225.146690086267,9484.41020933513,7773.792417350992,11033.288970785585
2020-11-24 12:00:00,9804.0,9710.625661605582,8213.958821675546,11602.808499699448,9710.625661605582,8074.776212637607,11159.432114509025
2020-11-24 13:00:00,10183.0,9986.5592030274,8395.574220032704,11816.480698447229,9986.5592030274,8288.54477482393,11504.608836418669
2020-11-24 14:00:00,10601.0,10259.730478118414,8638.819204206966,11955.115412354742,10259.730478118414,8724.832879050344,11726.442031173294
2020-11-24 15:00:00,10761.0,10480.620121600035,8867.405643928862,12205.901789139089,10480.620121600035,8881.138679861415,12041.403688955423
2020-11-24 16:00:00,10816.0,10599.586307525875,9046.18344361471,12363.252142920835,10599.586307525875,9004.12689937444,12214.42009902193
2020-11-24 17:00:00,10864.0,10629.404839202605,8988.989417379304,12343.32261340331,10629.404839202605,9052.74845250899,12170.018621108704
2020-11-24 18:00:00,10856.0,10619.479993058218,9040.508419811915,12421.064322200516,10619.479993058218,8988.572320946676,12167.650859418332
2020-11-24 19:00:00,10811.0,10623.317928870989,9054.45915708197,12365.885007600244,10623.317928870989,8992.007749459992,12233.677143702145
2020-11-24 20:00:00,10750.0,10623.97583797295,9070.510648414125,12427.596050383518,10623.97583797295,9154.171849464805,12284.211931102916
2020-11-24 21:00:00,10700.0,10643.474473829432,9155.676221465437,12392.010030361673,10643.474473829432,9142.685267821334,12285.024156691983
2020-11-24 22:00:00,10702.0,10633.385582186902,9085.486707389593,12572.185894709082,10633.385582186902,9114.38119075768,12229.434123231626
2020-11-24 23:00:00,10903.0,10643.445332337236,9169.27266489373,12418.76607389261,10643.445332337236,9118.710744954036,12331.759587276614
2020-11-25 00:00:00,10987.0,10661.034463306372,9153.116004850079,12431.15063953806,10661.034463306372,9178.516595565261,12241.179381856244
2020-11-25 01:00:00,10887.0,10676.470575916002,9133.998007056603,12452.672028358376,10676.470575916002,9169.468427102378,12359.268349315318
2020-11-25 02:00:00,10725.0,10630.472268925761,9127.014720221676,12365.071889799287,10630.472268925761,9147.00129930254,12311.927576096245
2020-11-25 03:00:00,10517.0,10475.388278310387,9015.047062627129,12369.979729195724,10475.388278310387,9043.411602326916,12245.101476366423
2020-11-25 04:00:00,10284.0,10220.725389854677,8721.82091716761,11868.443821298597,10220.725389854677,8735.98928972802,11924.937042196982
2020-11-25 05:00:00,9897.0,9933.18181168953,8387.058926416408,11729.742887110719,9933.18181168953,8411.14339450205,11634.621486081887
2020-11-25 06:00:00,9583.0,9674.995438863401,8126.895570352136,11475.3876748654,9674.995438863401,8162.681657987797,11299.151843165988
2020-11-25 07:00:00,9408.0,9474.315127939859,8000.981312323161,11268.882509901325,9474.315127939859,7902.99959509165,11219.070491017535
2020-11-25 08:00:00,9301.0,9341.896912641236,7774.165672995855,11105.81042704639,9341.896912641236,7913.148505439247,11064.304116803823
2020-11-25 09:00:00,9237.0,9268.731945204943,7749.719173152413,10999.802219614481,9268.731945204943,7754.800388642975,10982.158466924031
2020-11-25 10:00:00,9213.0,9274.142513399609,7734.586651610385,11167.682292303243,9274.142513399609,7803.686488993096,10959.107400413483
2020-11-25 11:00:00,9257.0,9366.854350073481,7740.456222849718,11157.180699257697,9366.854350073481,7933.588593211377,11138.564631642656
2020-11-25 12:00:00,9432.0,9597.38715051912,8112.818438761978,11367.559261455184,9597.38715051912,8095.849861460091,11335.862870627041
2020-11-25 13:00:00,9795.0,9882.152938234387,8342.688970093412,11624.469118984822,9882.152938234387,8356.417883897939,11568.79376427267
2020-11-25 14:00:00,10283.0,10171.878823146486,8692.364333128051,12021.493806594748,10171.878823146486,8772.798417902462,11812.442640932557
2020-11-25 15:00:00,10421.0,10403.466762697235,8854.407587416195,12310.136266477932,10403.466762697235,8928.642384475941,12047.43828440245
2020-11-25 16:00:00,10372.0,10526.3614456603,8992.083920642452,12452.480837805666,10526.3614456603,9034.487723347076,12302.424868234368
2020-11-25 17:00:00,10425.0,10584.553565318674,9068.17697742238,12459.823956742646,10584.553565318674,9081.728219230636,12205.880386072047
2020-11-25 18:00:00,10461.0,10593.341286925608,8997.317102244919,12415.482807977654,10593.341286925608,9200.87702220311,12336.56478202052
2020-11-25 19:00:00,10465.0,10614.460791638425,8938.598411850366,12419.595822099238,10614.460791638425,9166.840048872074,12392.501238703964
2020-11-25 20:00:00,10428.0,10647.106089729354,9029.227568381782,12597.815511119725,10647.106089729354,9256.892552497076,12438.288296238787
2020-11-25 21:00:00,10407.0,10668.580372366945,9149.849169428728,12406.376674264338,10668.580372366945,9259.782492022689,12364.551262941777
2020-11-25 22:00:00,10407.0,10684.3051299644,9121.959825390482,12642.316432436024,10684.3051299644,9181.477042483279,12422.946253713566
2020-11-25 23:00:00,10825.0,10700.72104197777,9157.69040243934,12506.589551985295,10700.72104197777,9234.041769810457,12408.033745667442
2020-11-26 00:00:00,10970.0,10741.250666730508,9159.517606142372,12421.406295860388,10741.250666730508,9322.670648352327,12487.719339798627
2020-11-26 01:00:00,10748.0,10767.698844641356,9251.951311227482,12711.151615134988,10767.698844641356,9292.263039257614,12427.985651423664
2020-11-26 02:00:00,10645.0,10709.73998662191,9138.795309894575,12563.237361609903,10709.73998662191,9248.593296337382,12529.615526349358
2020-11-26 03:00:00,10475.0,10552.153017320135,8972.645107233702,12479.440150105482,10552.153017320135,9053.158827811236,12260.630018505912
2020-11-26 04:00:00,10349.0,10312.880600788512,8810.56471565921,12178.18710254147,10312.880600788512,8859.745579553613,12113.557294729664
2020-11-26 05:00:00,10010.0,9987.103273399998,8446.875955788753,11843.369717434138,9987.103273399998,8473.579151603484,11728.87422385938
2020-11-26 06:00:00,9680.0,9726.352272197586,8251.566180158345,11522.401322456362,9726.352272197586,8257.18279313457,11402.029563434648
2020-11-26 07:00:00,9472.0,9516.414499148492,7924.408067087855,11265.396257134613,9516.414499148492,8037.3905472712,11167.479359385992
